m,alph,code,T,n_sums,i,d,sum,r,s,k,aligned,nX,nY,nZ,v_xy,v_yz,l1_xy,l1_yz,db_xy,db_yz,defX,defY,defZ,in_LA,in_LT,Tdot_v,anc_acf,anc_Tcube,eq_ok,type,types,seed,Wlen
2,0123,32 31 20 01,"5,4,2,1",4,45,25,35,1,1,12,0,12,12,12,"1,-1,1,-1","-1,1,-1,1",4,4,-2,2,1,3,1,0,0,2,1,0,1,"1,1",1:1|0:1|1:1,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,47,27,37,1,1,13,0,13,13,13,"0,-1,2,-1","0,1,-2,1",4,4,1,-1,1,0,1,1,0,-1,1,0,1,"1,1",1:1|0:1|1:1,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,57,21,29,1,1,10,0,10,10,10,"1,-1,0,0","-1,1,0,0",2,2,-1,1,2,3,2,0,0,1,1,0,1,"1,1",1:1|0:1|1:1,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,58,21,29,0,1,10,0,10,10,10,"0,-1,1,0","0,1,-1,0",2,2,2,-2,2,0,2,0,0,-2,1,0,1,"0,1",0:1|1:1|0:1,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,88,55,87,0,1,27,0,27,27,27,"0,-1,1,0","0,1,-2,1",2,4,2,-1,3,1,2,0,0,-2,0,0,1,"0,1",0:1|1:1|0:1,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,124,21,35,0,1,10,0,10,10,10,"-1,1,-1,1","1,-1,2,-2",4,6,2,-3,2,0,3,0,0,-2,1,0,1,"0,1",0:1|1:1|0:1,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,149,6,11,1,0,3,0,2,2,2,"0,0,0,0","1,-1,0,0",0,2,0,-1,4,4,5,1,1,0,1,0,1,"1,0",1:0|1:0|1:0,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,153,4,8,1,0,2,0,1,1,1,"-1,1,0,0","1,-1,0,0",2,2,1,-1,4,3,4,0,0,-1,1,0,1,"1,0",1:0|1:0|1:0,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,155,6,11,1,0,3,0,2,2,2,"1,-1,0,0","-1,0,1,0",2,2,-1,3,4,5,2,0,0,1,1,0,1,"1,0",1:0|1:0|1:0,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,157,4,8,1,0,2,0,1,1,1,"1,-1,0,0","-1,1,0,0",2,2,-1,1,3,4,3,0,0,1,1,0,1,"1,0",1:0|1:0|1:0,2,2048
