i,d,sum,r,s,k,aligned,nX,nY,nZ,v0,v1,v2,v3,l1,db,Tdot,eq,recon
45,25,35,1,1,12,0,12,12,12,1,-1,1,-1,4,-2,2,1,1
47,27,37,1,1,13,0,13,13,13,0,-1,2,-1,4,1,-1,1,1
57,21,29,1,1,10,0,10,10,10,1,-1,0,0,2,-1,1,1,1
58,21,29,0,1,10,0,10,10,10,0,-1,1,0,2,2,-2,1,1
88,55,87,0,1,27,0,27,27,27,0,-1,1,0,2,2,-2,1,1
124,21,35,0,1,10,0,10,10,10,-1,1,-1,1,4,2,-2,1,1
149,6,11,1,0,3,0,2,2,2,0,0,0,0,0,0,0,1,1
153,4,8,1,0,2,0,1,1,1,-1,1,0,0,2,1,-1,1,1
155,6,11,1,0,3,0,2,2,2,1,-1,0,0,2,-1,1,1,1
157,4,8,1,0,2,0,1,1,1,1,-1,0,0,2,-1,1,1,1
165,13,20,1,1,6,0,6,6,6,1,0,-1,0,2,-3,3,1,1
165,32,48,1,0,16,0,15,15,15,0,2,-3,1,6,-3,3,1,1
165,112,162,1,0,56,0,55,55,55,2,-3,2,-1,8,-1,1,1,1
166,111,162,0,1,55,0,55,55,55,2,-3,2,-1,8,-1,1,1,1
169,470,699,1,0,235,0,234,234,234,-1,0,1,0,2,3,-3,1,1
172,15,21,0,1,7,0,7,7,7,-1,1,-1,1,4,2,-2,1,1
180,100,145,0,0,50,1,50,50,50,1,-2,2,-1,6,0,0,1,1
185,24,37,1,0,12,0,11,11,11,0,1,-1,0,2,-2,2,1,1
188,108,155,0,0,54,1,54,54,54,1,-2,2,-1,6,0,0,1,1
205,89,127,1,1,44,0,44,44,44,2,-2,1,-1,6,-3,3,1,1
226,84,121,0,0,42,1,42,42,42,1,-2,2,-1,6,0,0,1,1
227,84,121,1,0,42,0,41,41,41,1,-2,2,-1,6,0,0,1,1
228,84,121,0,0,42,1,42,42,42,1,-2,2,-1,6,0,0,1,1
229,80,114,1,0,40,0,39,39,39,2,-3,2,-1,8,-1,1,1,1
229,84,121,1,0,42,0,41,41,41,1,-2,2,-1,6,0,0,1,1
230,79,114,0,1,39,0,39,39,39,2,-3,2,-1,8,-1,1,1,1
230,84,121,0,0,42,1,42,42,42,1,-2,2,-1,6,0,0,1,1
231,84,121,1,0,42,0,41,41,41,1,-2,2,-1,6,0,0,1,1
232,43,61,0,1,21,0,21,21,21,0,-1,1,0,2,2,-2,1,1
232,84,121,0,0,42,1,42,42,42,1,-2,2,-1,6,0,0,1,1
237,25,35,1,1,12,0,12,12,12,1,-1,1,-1,4,-2,2,1,1
239,27,37,1,1,13,0,13,13,13,0,-1,2,-1,4,1,-1,1,1
249,21,29,1,1,10,0,10,10,10,1,-1,0,0,2,-1,1,1,1
250,21,29,0,1,10,0,10,10,10,0,-1,1,0,2,2,-2,1,1
263,30,40,1,0,15,0,14,14,14,0,1,-1,0,2,-2,2,1,1
298,12,15,0,0,6,1,6,6,6,0,0,0,0,0,0,0,1,1
301,11,13,1,1,5,0,5,5,5,0,1,-1,0,2,-2,2,1,1
303,9,10,1,1,4,0,4,4,4,-1,1,-1,1,4,2,-2,1,1
305,15,18,1,1,7,0,7,7,7,0,0,1,-1,2,-1,1,1,1
306,8,9,0,0,4,1,4,4,4,-1,1,1,-1,4,0,0,1,1
310,12,15,0,0,6,1,6,6,6,0,0,0,0,0,0,0,1,1
312,11,13,0,1,5,0,5,5,5,0,-1,1,0,2,2,-2,1,1
314,8,9,0,0,4,1,4,4,4,1,-1,-1,1,4,0,0,1,1
316,51,72,0,1,25,0,25,25,25,-1,1,-1,1,4,2,-2,1,1
322,48,70,0,0,24,1,24,24,24,-1,2,-2,1,6,0,0,1,1
325,32,48,1,0,16,0,15,15,15,-1,0,1,0,2,3,-3,1,1
328,27,40,0,1,13,0,13,13,13,0,-1,1,0,2,2,-2,1,1
332,45,66,0,1,22,0,22,22,22,-1,2,-3,2,8,1,-1,1,1
335,42,63,1,0,21,0,20,20,20,-1,3,-3,1,8,-2,2,1,1
339,19,30,1,1,9,0,9,9,9,0,1,0,-1,2,-3,3,1,1
348,27,42,0,1,13,0,13,13,13,-1,1,-1,1,4,2,-2,1,1
349,4,8,1,0,2,0,1,1,1,0,0,0,0,0,0,0,1,1
349,226,348,1,0,113,0,112,112,112,0,0,0,0,0,0,0,1,1
352,220,339,0,0,110,1,110,110,110,1,-2,2,-1,6,0,0,1,1
357,13,20,1,1,6,0,6,6,6,1,0,-1,0,2,-3,3,1,1
357,32,48,1,0,16,0,15,15,15,0,2,-3,1,6,-3,3,1,1
360,199,305,0,1,99,0,99,99,99,1,-3,3,-1,8,2,-2,1,1
364,15,21,0,1,7,0,7,7,7,-1,1,-1,1,4,2,-2,1,1
370,48,70,0,0,24,1,24,24,24,0,0,0,0,0,0,0,1,1
373,214,329,1,0,107,0,106,106,106,1,-2,2,-1,6,0,0,1,1
377,24,37,1,0,12,0,11,11,11,0,1,-1,0,2,-2,2,1,1
424,151,231,0,1,75,0,75,75,75,-1,1,-1,1,4,2,-2,1,1
429,25,35,1,1,12,0,12,12,12,1,-1,1,-1,4,-2,2,1,1
431,27,37,1,1,13,0,13,13,13,0,-1,2,-1,4,1,-1,1,1
441,21,29,1,1,10,0,10,10,10,1,-1,0,0,2,-1,1,1,1
442,21,29,0,1,10,0,10,10,10,0,-1,1,0,2,2,-2,1,1
445,665,995,1,1,332,0,332,332,332,4,-6,5,-3,18,-3,3,1,1
455,173,266,1,1,86,0,86,86,86,2,-3,3,-2,10,-2,2,1,1
456,167,257,0,1,83,0,83,83,83,1,-3,3,-1,8,2,-2,1,1
456,171,263,0,1,85,0,85,85,85,1,-3,4,-2,10,1,-1,1,1
457,171,263,1,1,85,0,85,85,85,2,-3,3,-2,10,-2,2,1,1
464,165,255,0,1,82,0,82,82,82,2,-3,2,-1,8,-1,1,1,1
472,55,87,0,1,27,0,27,27,27,0,-1,1,0,2,2,-2,1,1
496,84,133,0,0,42,1,42,42,42,-1,2,-2,1,6,0,0,1,1
503,111,174,1,1,55,0,55,55,55,0,-1,2,-1,4,1,-1,1,1
508,21,35,0,1,10,0,10,10,10,-1,1,-1,1,4,2,-2,1,1
529,45,72,1,1,22,0,22,22,22,0,2,-3,1,6,-3,3,1,1
529,59,95,1,1,29,0,29,29,29,0,2,-3,1,6,-3,3,1,1
533,6,11,1,0,3,0,2,2,2,0,0,0,0,0,0,0,1,1
537,4,8,1,0,2,0,1,1,1,-1,1,0,0,2,1,-1,1,1
537,95,149,1,1,47,0,47,47,47,0,0,1,-1,2,-1,1,1,1
539,6,11,1,0,3,0,2,2,2,1,-1,0,0,2,-1,1,1,1
541,4,8,1,0,2,0,1,1,1,1,-1,0,0,2,-1,1,1,1
549,13,20,1,1,6,0,6,6,6,1,0,-1,0,2,-3,3,1,1
554,92,142,0,0,46,1,46,46,46,0,-1,3,-2,6,0,0,1,1
555,92,142,1,0,46,0,45,45,45,1,-2,3,-2,8,-1,1,1,1
556,15,21,0,1,7,0,7,7,7,-1,1,-1,1,4,2,-2,1,1
559,82,126,1,0,41,0,40,40,40,1,-2,2,-1,6,0,0,1,1
591,134,205,1,0,67,0,66,66,66,1,-1,1,-1,4,-2,2,1,1
596,24,40,0,0,12,1,12,12,12,0,0,0,0,0,0,0,1,1
598,25,43,0,1,12,0,12,12,12,-1,1,-1,1,4,2,-2,1,1
604,19,32,0,1,9,0,9,9,9,-1,1,-1,1,4,2,-2,1,1
612,16,28,0,0,8,1,8,8,8,0,0,0,0,0,0,0,1,1
617,110,170,1,0,55,0,54,54,54,-1,0,0,1,2,4,-4,1,1
619,26,43,1,0,13,0,12,12,12,0,0,0,0,0,0,0,1,1
619,490,729,1,0,245,0,244,244,244,4,-6,5,-3,18,-3,3,1,1
620,24,40,0,0,12,1,12,12,12,0,0,0,0,0,0,0,1,1
628,16,28,0,0,8,1,8,8,8,0,0,0,0,0,0,0,1,1
629,6,11,1,0,3,0,2,2,2,0,0,0,0,0,0,0,1,1
629,105,163,1,1,52,0,52,52,52,0,1,-1,0,2,-2,2,1,1
633,4,8,1,0,2,0,1,1,1,-1,1,0,0,2,1,-1,1,1
635,6,11,1,0,3,0,2,2,2,1,-1,0,0,2,-1,1,1,1
637,4,8,1,0,2,0,1,1,1,1,-1,0,0,2,-1,1,1,1
649,462,682,1,0,231,0,230,230,230,2,-5,5,-2,14,2,-2,1,1
660,52,79,0,0,26,1,26,26,26,0,0,0,0,0,0,0,1,1
660,128,192,0,0,64,1,64,64,64,-2,4,-4,2,12,0,0,1,1
660,448,660,0,0,224,1,224,224,224,3,-6,6,-3,18,0,0,1,1
661,6,11,1,0,3,0,2,2,2,0,0,0,0,0,0,0,1,1
661,128,192,1,0,64,0,63,63,63,-2,4,-4,2,12,0,0,1,1
661,132,199,1,0,66,0,65,65,65,-3,5,-4,2,14,1,-1,1,1
661,448,660,1,0,224,0,223,223,223,3,-6,6,-3,18,0,0,1,1
661,451,665,1,1,225,0,225,225,225,3,-5,5,-3,16,-2,2,1,1
662,128,192,0,0,64,1,64,64,64,-2,4,-4,2,12,0,0,1,1
662,448,660,0,0,224,1,224,224,224,3,-6,6,-3,18,0,0,1,1
663,132,199,1,0,66,0,65,65,65,-2,5,-5,2,14,-2,2,1,1
664,444,657,0,0,222,1,222,222,222,3,-6,6,-3,18,0,0,1,1
665,4,8,1,0,2,0,1,1,1,-1,1,0,0,2,1,-1,1,1
665,130,196,1,0,65,0,64,64,64,-3,5,-4,2,14,1,-1,1,1
666,129,194,0,1,64,0,64,64,64,-3,5,-4,2,14,1,-1,1,1
667,6,11,1,0,3,0,2,2,2,1,-1,0,0,2,-1,1,1,1
669,4,8,1,0,2,0,1,1,1,1,-1,0,0,2,-1,1,1,1
674,41,60,0,1,20,0,20,20,20,-1,1,0,0,2,1,-1,1,1
676,1880,2808,0,0,940,1,940,940,940,0,0,0,0,0,0,0,1,1
681,8,11,1,0,4,0,3,3,3,0,1,-1,0,2,-2,2,1,1
681,14,18,1,0,7,0,6,6,6,-1,0,0,1,2,4,-4,1,1
681,1879,2805,1,1,939,0,939,939,939,0,0,1,-1,2,-1,1,1,1
688,60,87,0,0,30,1,30,30,30,-1,2,-2,1,6,0,0,1,1
689,57,83,1,1,28,0,28,28,28,0,1,-1,0,2,-2,2,1,1
689,456,671,1,0,228,0,227,227,227,0,-1,1,0,2,2,-2,1,1
695,207,302,1,1,103,0,103,103,103,-2,3,-2,1,8,1,-1,1,1
696,71,105,0,1,35,0,35,35,35,-3,5,-5,3,16,2,-2,1,1
696,75,111,0,1,37,0,37,37,37,-3,5,-4,2,14,1,-1,1,1
697,446,656,1,0,223,0,222,222,222,0,-2,2,0,4,4,-4,1,1
701,114,170,1,0,57,0,56,56,56,-2,4,-4,2,12,0,0,1,1
702,9,11,0,1,4,0,4,4,4,-1,1,-1,1,4,2,-2,1,1
702,124,185,0,0,62,1,62,62,62,-1,2,-2,1,6,0,0,1,1
703,442,650,1,0,221,0,220,220,220,2,-3,2,-1,8,-1,1,1,1
704,439,645,0,1,219,0,219,219,219,1,-3,3,-1,8,2,-2,1,1
706,48,70,0,0,24,1,24,24,24,-1,2,-2,1,6,0,0,1,1
709,32,48,1,0,16,0,15,15,15,-1,0,1,0,2,3,-3,1,1
