code,seed,T0,T1,T2,T3,n_sums,i,d,sum,r,s,k,aligned,nX,nY,nZ,v0,v1,v2,v3,l1,db,Tdot,eq,recon,acf_prefix
0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
4,0,1,0,0,0,2,0,3,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,8
8,0,3,0,0,0,2,0,3,3,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,8
12,0,4,0,0,0,2,0,3,4,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,8
16,0,0,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
16,1,0,1,0,0,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3
17,1,1,1,0,0,2,0,2,1,0,0,1,1,1,1,1,-1,1,0,0,2,0,0,1,1,5
18,1,3,1,0,0,3,1,3,3,1,1,1,0,1,1,1,1,0,-1,0,2,-3,3,1,1,9
19,1,4,1,0,0,3,1,3,4,1,1,1,0,1,1,1,1,0,0,-1,2,-4,4,1,1,9
20,0,1,1,0,0,2,0,2,1,0,0,1,1,1,1,1,1,-1,0,0,2,0,0,1,1,5
20,1,1,1,0,0,2,0,2,1,0,0,1,1,1,1,1,-1,1,0,0,2,0,0,1,1,5
21,1,2,1,0,0,3,0,3,2,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,8
22,1,4,1,0,0,3,15,3,1,1,1,1,0,1,1,1,0,-1,1,0,2,1,-1,1,1,23
23,1,5,1,0,0,3,15,3,1,1,1,1,0,1,1,1,0,-1,0,1,2,1,-1,1,1,23
24,0,3,1,0,0,3,0,3,3,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,8
24,1,3,1,0,0,3,1,3,3,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,9
25,1,4,1,0,0,3,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7
26,1,6,1,0,0,3,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6
27,1,7,1,0,0,3,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6
28,0,4,1,0,0,3,0,3,4,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,8
28,1,4,1,0,0,3,1,3,4,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,9
29,1,5,1,0,0,3,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7
30,1,7,1,0,0,3,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6
31,1,8,1,0,0,3,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6
32,0,0,3,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
36,0,1,3,0,0,3,0,21,15,0,1,10,0,10,10,10,1,0,-1,0,2,-1,1,1,1,62
40,0,3,3,0,0,2,0,3,3,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,8
44,0,4,3,0,0,3,0,3,4,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,8
48,0,0,4,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
52,0,1,4,0,0,3,0,21,18,0,1,10,0,10,10,10,1,0,0,-1,2,-1,1,1,1,62
56,0,3,4,0,0,3,0,3,3,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,8
60,0,4,4,0,0,2,0,3,4,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,8
64,0,0,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
68,0,1,1,0,0,2,0,2,1,0,0,1,1,1,1,1,1,-1,0,0,2,0,0,1,1,5
72,0,3,1,0,0,3,0,3,3,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,8
76,0,4,1,0,0,3,0,3,4,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,8
80,0,0,2,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
80,1,0,2,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
81,1,1,2,0,0,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
82,1,3,2,0,0,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
83,1,4,2,0,0,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
84,0,1,2,0,0,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3
84,1,1,2,0,0,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
85,1,2,2,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
86,1,4,2,0,0,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
87,1,5,2,0,0,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
88,0,3,2,0,0,3,0,3,3,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,8
88,1,3,2,0,0,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
89,1,4,2,0,0,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
