# n  count  log4_count  branch  dead_frac  p0 p1 p2 p3  hist0..4
0 1 0.000000 4.0000 0.0000 0.000,0.000,0.000,0.000 0,0,0,0,1
1 4 1.000000 4.0000 0.0000 0.250,0.250,0.250,0.250 0,0,0,0,4
2 16 2.000000 3.7500 0.0000 0.250,0.250,0.250,0.250 0,0,0,4,12
3 60 2.953445 3.8000 0.0000 0.250,0.250,0.250,0.250 0,0,0,12,48
4 228 3.916445 3.7895 0.0000 0.250,0.250,0.250,0.250 0,0,0,48,180
5 864 4.877444 3.6481 0.0000 0.250,0.250,0.250,0.250 0,0,36,232,596
6 3152 5.811026 3.6383 0.0000 0.251,0.249,0.249,0.251 0,0,140,860,2152
7 11468 6.742663 3.6685 0.0000 0.251,0.249,0.249,0.251 0,0,416,2970,8082
8 42070 7.680252 3.5788 0.0000 0.251,0.249,0.249,0.251 0,72,2088,13328,26582
9 150560 8.599990 3.5747 0.0000 0.251,0.249,0.249,0.251 0,262,7634,47972,94692
10 538214 9.518910 3.5762 0.0000 0.251,0.249,0.249,0.251 0,906,27154,171092,339062
11 1924738 10.438115 -1.0000 0.0000 0.251,0.249,0.249,0.251 
