# shape 3,3,1,3 morphisms=1048576 cap=300
best 2  0->000 | 1->000 | 2->0 | 3->000 seed=0 cube i=0 d=0
best 3  0->200 | 1->000 | 2->0 | 3->000 seed=0 cube i=0 d=0
best 4  0->010 | 1->000 | 2->0 | 3->000 seed=0 cube i=0 d=0
best 7  0->220 | 1->000 | 2->0 | 3->000 seed=0 cube i=0 d=0
best 8  0->001 | 1->000 | 2->0 | 3->000 seed=0 cube i=0 d=0
best 9  0->200 | 1->100 | 2->0 | 3->000 seed=1 cube i=0 d=0
best 16  0->210 | 1->100 | 2->0 | 3->000 seed=0 cube i=0 d=0
best 21  0->102 | 1->200 | 2->0 | 3->000 seed=1 cube i=0 d=0
best 22  0->130 | 1->110 | 2->0 | 3->000 seed=1 cube i=0 d=0
best 25  0->112 | 1->110 | 2->0 | 3->000 seed=0 cube i=0 d=0
best 40  0->001 | 1->121 | 2->0 | 3->000 seed=0 cube i=0 d=0
best 42  0->022 | 1->110 | 2->3 | 3->000 seed=1 cube i=0 d=0
best 52  0->001 | 1->211 | 2->3 | 3->000 seed=0 cube i=0 d=0
best 59  0->001 | 1->121 | 2->3 | 3->000 seed=0 cube i=0 d=0
best 73  0->233 | 1->210 | 2->0 | 3->100 seed=1 cube i=0 d=0
best 75  0->331 | 1->230 | 2->0 | 3->100 seed=1 cube i=0 d=0
best 85  0->123 | 1->122 | 2->0 | 3->100 seed=1 cube i=0 d=0
best 90  0->233 | 1->131 | 2->2 | 3->100 seed=1 cube i=0 d=0
best 93  0->133 | 1->132 | 2->2 | 3->100 seed=1 cube i=0 d=0
best 96  0->233 | 1->113 | 2->2 | 3->100 seed=1 cube i=0 d=0
best 106  0->233 | 1->221 | 2->3 | 3->100 seed=1 cube i=0 d=0
best 117  0->332 | 1->102 | 2->3 | 3->100 seed=1 cube i=0 d=0
best 282  0->323 | 1->113 | 2->3 | 3->100 seed=1 cube i=0 d=0
best 300  0->001 | 1->031 | 2->1 | 3->233 seed=0
SURVIVOR 0->001 | 1->031 | 2->1 | 3->233 seed=0
survivors=1 best=300 0->001 | 1->031 | 2->1 | 3->233 seed=0
